class;collection;methods;adicao;remocao;busca;acesso;edicao
org.jgrapht.generate.WheelGraphGenerator;java.util.Map;1;1;0;0;0;0
org.jgrapht.experimental.touchgraph.TouchgraphConverter;java.util.Set;0;0;0;0;0;0
org.jgrapht.experimental.touchgraph.TouchgraphConverter;java.util.List;7;0;0;7;0;0
org.jgrapht.experimental.touchgraph.TouchgraphConverter;java.util.Map;0;0;0;0;0;0
org.jgrapht.experimental.alg.color.BrownBacktrackColoring;java.util.Set;0;0;0;0;0;0
org.jgrapht.experimental.alg.color.BrownBacktrackColoring;java.util.List;2;0;0;2;0;0
org.jgrapht.experimental.alg.color.BrownBacktrackColoring;java.util.Map;1;1;0;0;0;0
org.jgrapht.ext.IntegerNameProvider;java.util.Set;0;0;0;0;0;0
org.jgrapht.ext.IntegerNameProvider;java.util.List;0;0;0;0;0;0
org.jgrapht.ext.IntegerNameProvider;java.util.Map;3;1;1;1;0;0
org.jgrapht.alg.DijkstraShortestPath;java.util.Set;0;0;0;0;0;0
org.jgrapht.alg.DijkstraShortestPath;java.util.List;1;1;0;0;0;0
org.jgrapht.alg.DijkstraShortestPath;java.util.Map;0;0;0;0;0;0
org.jgrapht.experimental.isomorphism.EquivalenceIsomorphismInspector;java.util.Set;6;1;1;4;0;0
org.jgrapht.experimental.isomorphism.EquivalenceIsomorphismInspector;java.util.List;0;0;0;0;0;0
org.jgrapht.experimental.isomorphism.EquivalenceIsomorphismInspector;java.util.Map;0;0;0;0;0;0
org.jgrapht.experimental.GraphSquare;java.util.Set;0;0;0;0;0;0
org.jgrapht.experimental.GraphSquare;java.util.List;4;0;0;4;0;0
org.jgrapht.experimental.GraphSquare;java.util.Map;0;0;0;0;0;0
org.jgrapht.alg.StrongConnectivityInspector;java.util.Set;2;1;0;1;0;0
org.jgrapht.alg.StrongConnectivityInspector;java.util.List;4;2;0;2;0;0
org.jgrapht.alg.StrongConnectivityInspector;java.util.Map;2;1;0;1;0;0
org.jgrapht.experimental.RandomGraphHelper;java.util.Set;0;0;0;0;0;0
org.jgrapht.experimental.RandomGraphHelper;java.util.List;4;0;0;4;0;0
org.jgrapht.experimental.RandomGraphHelper;java.util.Map;0;0;0;0;0;0
org.jgrapht.generate.RandomGraphGenerator;java.util.Set;0;0;0;0;0;0
org.jgrapht.generate.RandomGraphGenerator;java.util.List;0;0;0;0;0;0
org.jgrapht.generate.RandomGraphGenerator;java.util.Map;1;1;0;0;0;0
org.jgrapht.generate.HyperCubeGraphGenerator;java.util.Set;0;0;0;0;0;0
org.jgrapht.generate.HyperCubeGraphGenerator;java.util.List;3;1;0;2;0;0
org.jgrapht.generate.HyperCubeGraphGenerator;java.util.Map;1;1;0;0;0;0
org.jgrapht.alg.ConnectivityInspector;java.util.Set;3;1;0;2;0;0
org.jgrapht.alg.ConnectivityInspector;java.util.List;1;0;0;1;0;0
org.jgrapht.alg.ConnectivityInspector;java.util.Map;2;1;0;1;0;0
org.jgrapht.alg.NeighborIndex;java.util.Set;0;0;0;0;0;0
org.jgrapht.alg.NeighborIndex;java.util.List;0;0;0;0;0;0
org.jgrapht.alg.NeighborIndex;java.util.Map;5;1;1;3;0;0
